Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Ahamed, Sheikh I; Hasan, Chowdhury S; Haque, Md M; Gani, Md O; ",Towards TTP-free lightweight solution for location privacy using location-based anonymity prediction,Proceedings of the 2011 ACM Symposium on Research in Applied Computation,,,293-297,2011,
"Gani, Md; Ashraf, Sarah Isnain Binte; Malik, Nafia; Hossain, Bushra; Hossain, M Afzal; Sarwar, Hasan; ","Recursive Implementation of Markov Model, A New Approach","Advanced Information Networking and Applications (WAINA), 2011 IEEE Workshops of International Conference on",,,216-220,2011,IEEE
"Gani, MD Osman; Sarwar, Hasan; Rahman, Chowdhury Mofizur; ",Prediction of State of Wireless Network Using Markov and Hidden Markov Model.,J. Networks,4,10,976-984,2009,
"Gani, MD Osman; Mehedi, Iftekhar Jahan; Seraj, Mehnaz; Sarwar, Hasan; Rahman, Chowdhury Mofizur; ",Prediction of the density of active wireless device using markov model,2008 11th International Conference on Computer and Information Technology,,,691-695,2008,IEEE
"Gani, Md Osman; OBrien, Casey; Ahamed, Sheikh I; Smith, Roger O; ",RSSI based indoor localization for smartphone using fixed and mobile wireless node,2013 IEEE 37th Annual Computer Software and Applications Conference,,,110-117,2013,IEEE
"Johnson, Norah; Bree, Octavia; Lalley, Erin E; Rettler, Kelly; Grande, Pam; Gani, Md O; Ahamed, Sheikh I; ",Effect of a social script iPad application for children with autism going to imaging,Journal of pediatric nursing,29,6,651-659,2014,WB Saunders
"Rahman, Farzana; Gani, Md Osman; Ahsan, Golam Mushih Tanimul; Ahamed, Sheikh Iqbal; ",Seeing Beyond Visibility: A Four Way Fusion of User Authentication for Efficient Usable Security on Mobile Devices,"Software Security and Reliability-Companion (SERE-C), 2014 IEEE Eighth International Conference on",,,121-129,2014,IEEE
"Gani, Md Osman; Fayezeen, Taskina; Ahamed, Sheikh Iqbal; Tomashek, Dennis B; Smith, Roger O; ",Simple activity recognition using smartphone technologies for in-home rehabilitation,RESNA Annual Conference. https://www. resna. org/sites/default/files/conference/2015/pdf_versions/other/151. pdf,,,,2015,
"Williams, Drew Marie; Gani, Md Osman; Addo, Ivor D; Majumder, AKM Jahangir Alam; Tamma, Chandana P; Wang, Mong-Te; Chang, Chih-Hung; Ahamed, Sheikh Iqbal; Chu, Cheng-Chung; ",Challenges in developing applications for aging populations,Optimizing Assistive Technologies for Aging Populations,,,1-21,2016,IGI Global
"Gani, Md Osman; Ahamed, Sheikh Iqbal; Davis, Samantha Ann; Smith, Roger O; ",AN APPROACH TO COMPLEX FUNCTIONAL ACTIVITY RECOGNITION USING SMARTPHONE TECHNOLOGIES,,,,,,
"Azam, Samiul; Khan, Imtiaz Ahamad; Gani, Md Osman; Islam, Mahbub Ul; Hossain, Syed Akhter; ",Architecture & Implementation of Bangla Text to Braille Translation,International Conference on Computer Processing of Bangla,,,,2011,
"Mahbub-ul-Islam, Fakhruddin Muhammad; Khan, Ahamad Imtiaz; Gani, Md Osman; Azam, Samiul; Hossain, Syed Akhter; ",Computational model for bangla text to braille translation,2nd International Conference on Computer Processing of Bangla,,,,2011,
"Gani, Md Osman; Ahsan, Golam Mushih Tanimul; Do, Duc; Drew, Williams; Balfas, Mohammed; Ahamed, Sheikha Iqbal; Arif, Muhammad; Kattan, Ahmed J; ",An approach to localization in crowded area,"2016 IEEE 18th International Conference on e-Health Networking, Applications and Services (Healthcom)",,,1-6,2016,IEEE
"Gani, Md Osman; ",A novel approach to complex human activity recognition,,,,,2017,Marquette University
"Gani, Md Osman; Fayezeen, Taskina; Ahamed, Sheikh Iqbal; Povinelli, Richard J; ",Computationally Efficient Human Activity Modeling and Its Application as a Service in Android Application Framework,,,,,,
"Gani, Md Osman; Saha, Amit Kumar; Ahsan, Golam Mushih Tanimul; Ahamed, Sheikh Iqbal; Smith, Roger O; ",A novel framework to recognize complex human activity,2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC),1,,948-956,2017,IEEE
"Ahsan, Golam MT; Gani, Md O; Hasan, Md K; Ahamed, Sheikh I; Chu, William; Adibuzzaman, Mohammad; Field, Joshua; ",A novel real-time non-invasive hemoglobin level detection using video images from smartphone camera,2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC),1,,967-972,2017,IEEE
"DDDWMBSIAMAAJK Md Osman Gani, Golam Mushih; Ahsan, Tanimul; ",A novel approach for localization in crowded area without gps,IEEE Healthcom,,,,2016,
